Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,League
1,Ben Alexander Voll,de GER,GK,St. Pauli,23,2000,1.0,2,0,0,0,0,2.4,0.48,+0.4,+0.41,7,28,25.0,37,5,59.5,44.7,13,46.2,39.7,15,0,0.0,0,0.00,,Matches,Bundesliga 2024-2025
2,Noah Atubolu,de GER,GK,Freiburg,22,2002,25.6,37,0,1,3,0,37.0,0.30,0.0,0.00,159,414,38.4,1012,110,32.4,33.1,126,68.3,51.5,377,34,9.0,28,1.09,12.7,Matches,Bundesliga 2024-2025
3,Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28.0,53,2,1,7,2,52.1,0.36,+1.1,+0.04,178,478,37.2,923,121,41.6,36.5,136,69.1,50.8,407,18,4.4,31,1.11,14.5,Matches,Bundesliga 2024-2025
4,Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,4.2,3,0,0,0,0,4.7,0.20,+1.7,+0.39,23,62,37.1,148,22,27.0,29.2,31,71.0,48.9,96,14,14.6,1,0.24,5.6,Matches,Bundesliga 2024-2025
5,Finn Dahmen,de GER,GK,Augsburg,26,1998,19.0,19,2,0,3,2,24.2,0.29,+7.2,+0.38,129,341,37.8,614,51,38.6,34.9,145,71.7,53.2,337,9,2.7,26,1.37,14.7,Matches,Bundesliga 2024-2025
6,Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9.0,19,2,1,1,1,18.5,0.30,+0.5,+0.06,47,133,35.3,304,55,25.7,30.3,91,60.4,45.6,177,15,8.5,5,0.56,9.3,Matches,Bundesliga 2024-2025
7,Patrick Drewes,de GER,GK,Bochum,31,1993,21.0,46,3,2,4,0,42.3,0.38,-3.7,-0.18,218,484,45.0,681,65,50.1,37.6,177,80.8,52.6,285,12,4.2,33,1.57,15.8,Matches,Bundesliga 2024-2025
8,Frank Feller,de GER,GK,Heidenheim,20,2004,1.3,0,0,0,0,0,0.3,0.16,+0.3,+0.24,10,34,29.4,54,7,42.6,38.0,11,100.0,68.4,25,1,4.0,1,0.74,14.8,Matches,Bundesliga 2024-2025
9,Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,28.7,49,2,0,9,1,49.7,0.35,+1.7,+0.06,186,511,36.4,979,114,41.7,36.7,154,66.9,51.9,413,15,3.6,19,0.66,12.2,Matches,Bundesliga 2024-2025
10,Péter Gulácsi,hu HUN,GK,RB Leipzig,34,1990,29.2,39,2,1,4,0,42.6,0.30,+3.6,+0.12,79,209,37.8,705,140,20.3,28.6,196,33.7,34.3,434,23,5.3,34,1.16,14.8,Matches,Bundesliga 2024-2025
11,Timo Horn,de GER,GK,Bochum,31,1993,13.0,22,0,1,3,0,18.5,0.35,-3.5,-0.27,129,332,38.9,400,29,60.8,43.6,98,90.8,61.8,182,6,3.3,18,1.38,14.8,Matches,Bundesliga 2024-2025
12,Lukáš Hrádecký,fi FIN,GK,Leverkusen,34,1989,29.0,38,4,1,2,3,35.8,0.28,+0.8,+0.03,123,306,40.2,774,110,30.9,31.5,135,49.6,40.8,296,12,4.1,39,1.34,17.3,Matches,Bundesliga 2024-2025
13,Gregor Kobel,ch SUI,GK,Dortmund,26,1997,32.0,47,4,0,5,1,47.4,0.35,+1.4,+0.04,112,336,33.3,1117,126,23.7,28.6,121,58.7,45.3,420,22,5.2,47,1.47,15.7,Matches,Bundesliga 2024-2025
14,Matej Kovar,cz CZE,GK,Leverkusen,24,2000,5.0,5,0,0,0,1,3.5,0.22,-0.5,-0.09,12,32,37.5,131,16,21.4,27.9,15,26.7,27.7,52,2,3.8,6,1.20,16.9,Matches,Bundesliga 2024-2025
15,Nediljko Labrović,hr CRO,GK,Augsburg,24,1999,15.0,32,3,1,2,0,25.9,0.32,-6.1,-0.40,83,220,37.7,397,72,38.8,35.2,105,62.9,47.4,217,12,5.5,18,1.20,13.3,Matches,Bundesliga 2024-2025
16,Alexander Meyer,de GER,GK,Dortmund,33,1991,2.0,4,0,0,0,0,4.0,0.36,0.0,0.00,8,33,24.2,76,3,35.5,34.8,7,85.7,63.6,24,1,4.2,2,1.00,14.8,Matches,Bundesliga 2024-2025
17,Florian Müller,de GER,GK,Freiburg,26,1997,8.4,16,2,0,3,1,11.6,0.35,-3.4,-0.41,54,166,32.5,267,28,44.9,37.1,57,80.7,57.7,104,6,5.8,9,1.08,13.4,Matches,Bundesliga 2024-2025
18,Kevin Müller,de GER,GK,Heidenheim,33,1991,32.7,64,6,0,7,0,59.3,0.33,-4.7,-0.14,152,428,35.5,1031,153,31.4,33.8,271,38.4,38.3,453,21,4.6,20,0.61,12.0,Matches,Bundesliga 2024-2025
19,Marius Müller,de GER,GK,Wolfsburg,31,1993,5.3,5,0,0,2,0,7.6,0.33,+2.6,+0.49,37,97,38.1,184,29,39.1,36.6,34,73.5,51.4,99,9,9.1,3,0.57,11.7,Matches,Bundesliga 2024-2025
20,Manuel Neuer,de GER,GK,Bayern Munich,38,1986,22.0,15,1,0,2,0,15.0,0.33,0.0,0.00,92,194,47.4,867,81,20.0,27.7,56,37.5,37.3,162,6,3.7,40,1.82,19.6,Matches,Bundesliga 2024-2025
21,Moritz Nicolas,de GER,GK,Gladbach,26,1997,18.2,25,5,0,1,2,29.9,0.29,+6.9,+0.38,95,199,47.7,734,88,23.3,28.2,60,46.7,39.8,319,18,5.6,14,0.77,12.0,Matches,Bundesliga 2024-2025
22,Alexander Nübel,de GER,GK,Stuttgart,27,1996,34.0,53,2,1,7,1,44.8,0.32,-7.2,-0.21,157,410,38.3,1183,137,30.1,30.7,122,44.3,39.5,415,21,5.1,57,1.68,17.6,Matches,Bundesliga 2024-2025
23,Jonas Omlin,ch SUI,GK,Gladbach,30,1994,10.9,26,2,1,6,0,23.8,0.31,-2.2,-0.20,68,190,35.8,453,46,34.9,32.7,57,56.1,44.2,166,3,1.8,13,1.20,15.1,Matches,Bundesliga 2024-2025
24,Daniel Peretz,il ISR,GK,Bayern Munich,24,2000,3.0,5,0,0,0,0,4.0,0.58,-1.0,-0.32,5,25,20.0,96,5,25.0,29.5,7,14.3,29.6,17,0,0.0,8,2.67,21.2,Matches,Bundesliga 2024-2025
