Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,League
vs Augsburg,29,26.6,55.7,34,374.0,3060,34.0,49.0,31.0,80.0,44.0,5.0,5.0,50.0,3.0,48.9,45.0,35.0,80.0,604.0,1438.0,1.44,0.91,2.35,1.29,2.21,1.44,1.03,2.47,1.32,2.35,Bundesliga 2024-2025
vs Bayern Munich,29,26.5,32.1,34,374.0,3060,34.0,32.0,25.0,57.0,31.0,1.0,2.0,65.0,2.0,25.5,24.0,18.1,42.1,286.0,669.0,0.94,0.74,1.68,0.91,1.65,0.75,0.53,1.28,0.71,1.24,Bundesliga 2024-2025
vs Bochum,27,26.5,54.5,34,374.0,3060,34.0,68.0,52.0,120.0,65.0,3.0,6.0,44.0,4.0,63.2,58.2,49.1,107.3,599.0,1447.0,2.0,1.53,3.53,1.91,3.44,1.86,1.44,3.3,1.71,3.15,Bundesliga 2024-2025
vs Dortmund,28,26.7,41.1,34,374.0,3060,34.0,50.0,39.0,89.0,46.0,4.0,4.0,65.0,5.0,42.8,39.6,30.9,70.5,473.0,1058.0,1.47,1.15,2.62,1.35,2.5,1.26,0.91,2.17,1.17,2.07,Bundesliga 2024-2025
vs Eint Frankfurt,26,26.7,50.3,34,374.0,3060,34.0,44.0,28.0,72.0,43.0,1.0,3.0,58.0,3.0,48.0,45.7,35.6,81.3,547.0,1289.0,1.29,0.82,2.12,1.26,2.09,1.41,1.05,2.46,1.34,2.39,Bundesliga 2024-2025
vs Freiburg,26,26.5,51.3,34,374.0,3060,34.0,52.0,39.0,91.0,50.0,2.0,4.0,59.0,2.0,42.4,39.4,30.7,70.1,471.0,1182.0,1.53,1.15,2.68,1.47,2.62,1.25,0.9,2.15,1.16,2.06,Bundesliga 2024-2025
vs Gladbach,26,26.7,50.4,34,374.0,3060,34.0,55.0,34.0,89.0,48.0,7.0,8.0,46.0,1.0,63.4,57.0,45.2,102.2,607.0,1520.0,1.62,1.0,2.62,1.41,2.41,1.86,1.33,3.19,1.68,3.01,Bundesliga 2024-2025
vs Heidenheim,27,26.6,56.5,34,374.0,3060,34.0,64.0,50.0,114.0,58.0,6.0,6.0,78.0,2.0,57.6,53.0,43.1,96.1,643.0,1620.0,1.88,1.47,3.35,1.71,3.18,1.7,1.27,2.96,1.56,2.83,Bundesliga 2024-2025
vs Hoffenheim,35,26.7,51.3,34,374.0,3060,34.0,65.0,51.0,116.0,62.0,3.0,6.0,48.0,3.0,55.8,51.1,41.4,92.5,529.0,1347.0,1.91,1.5,3.41,1.82,3.32,1.64,1.22,2.86,1.5,2.72,Bundesliga 2024-2025
vs Holstein Kiel,27,26.5,56.4,34,374.0,3060,34.0,77.0,52.0,129.0,71.0,6.0,7.0,74.0,2.0,61.0,55.6,44.5,100.1,549.0,1572.0,2.26,1.53,3.79,2.09,3.62,1.79,1.31,3.1,1.64,2.94,Bundesliga 2024-2025
vs Leverkusen,23,26.4,40.8,34,374.0,3060,34.0,39.0,25.0,64.0,35.0,4.0,4.0,68.0,1.0,36.2,33.1,22.8,55.9,403.0,984.0,1.15,0.74,1.88,1.03,1.76,1.07,0.67,1.74,0.97,1.64,Bundesliga 2024-2025
vs Mainz 05,25,26.5,49.6,34,374.0,3060,34.0,43.0,28.0,71.0,39.0,4.0,5.0,83.0,6.0,48.1,44.6,31.2,75.8,436.0,1123.0,1.26,0.82,2.09,1.15,1.97,1.42,0.92,2.33,1.31,2.23,Bundesliga 2024-2025
vs RB Leipzig,29,26.4,47.8,34,374.0,3060,34.0,48.0,35.0,83.0,46.0,2.0,3.0,73.0,1.0,53.3,51.0,38.8,89.8,530.0,1275.0,1.41,1.03,2.44,1.35,2.38,1.57,1.14,2.71,1.5,2.64,Bundesliga 2024-2025
vs St. Pauli,28,26.5,55.8,34,374.0,3060,34.0,40.0,30.0,70.0,39.0,1.0,5.0,75.0,1.0,45.4,41.5,35.0,76.4,484.0,1388.0,1.18,0.88,2.06,1.15,2.03,1.33,1.03,2.36,1.22,2.25,Bundesliga 2024-2025
vs Stuttgart,29,26.6,42.8,34,374.0,3060,34.0,52.0,34.0,86.0,50.0,2.0,3.0,96.0,7.0,46.9,44.5,33.8,78.3,443.0,1023.0,1.53,1.0,2.53,1.47,2.47,1.38,0.99,2.37,1.31,2.3,Bundesliga 2024-2025
vs Union Berlin,28,26.5,60.0,34,374.0,3060,34.0,49.0,36.0,85.0,47.0,2.0,6.0,57.0,2.0,47.8,43.0,32.4,75.4,595.0,1491.0,1.44,1.06,2.5,1.38,2.44,1.4,0.95,2.36,1.27,2.22,Bundesliga 2024-2025
vs Werder Bremen,23,26.3,50.1,34,374.0,3060,34.0,54.0,39.0,93.0,51.0,3.0,3.0,81.0,8.0,48.1,45.7,36.3,82.1,540.0,1336.0,1.59,1.15,2.74,1.5,2.65,1.41,1.07,2.48,1.35,2.41,Bundesliga 2024-2025
vs Wolfsburg,27,26.8,53.9,34,374.0,3060,34.0,53.0,43.0,96.0,51.0,2.0,3.0,67.0,2.0,52.5,50.1,40.5,90.6,549.0,1348.0,1.56,1.26,2.82,1.5,2.76,1.55,1.19,2.74,1.47,2.67,Bundesliga 2024-2025
vs Arsenal,25,26.1,43.1,38,418.0,3420,38.0,34.0,24.0,58.0,31.0,3.0,3.0,83.0,2.0,34.4,32.0,24.5,56.6,618.0,938.0,0.89,0.63,1.53,0.82,1.45,0.91,0.65,1.55,0.84,1.49,Premier League 2024-2025
vs Aston Villa,28,26.3,49.5,38,418.0,3420,38.0,51.0,36.0,87.0,49.0,2.0,3.0,104.0,2.0,50.1,47.8,36.4,84.2,688.0,1315.0,1.34,0.95,2.29,1.29,2.24,1.32,0.96,2.28,1.26,2.22,Premier League 2024-2025
vs Bournemouth,29,26.4,51.5,38,418.0,3420,38.0,46.0,36.0,82.0,42.0,4.0,4.0,94.0,5.0,48.5,45.3,36.5,81.8,685.0,1295.0,1.21,0.95,2.16,1.11,2.05,1.28,0.96,2.24,1.19,2.15,Premier League 2024-2025
vs Brentford,28,26.4,52.1,38,418.0,3420,38.0,54.0,42.0,96.0,53.0,1.0,1.0,82.0,3.0,55.4,54.7,43.3,97.9,835.0,1562.0,1.42,1.11,2.53,1.39,2.5,1.46,1.14,2.6,1.44,2.58,Premier League 2024-2025
vs Brighton,32,26.2,47.7,38,418.0,3420,38.0,57.0,39.0,96.0,48.0,9.0,9.0,93.0,5.0,54.6,47.7,41.3,88.9,607.0,1209.0,1.5,1.03,2.53,1.26,2.29,1.44,1.09,2.52,1.25,2.34,Premier League 2024-2025
vs Chelsea,29,26.5,42.9,38,418.0,3420,38.0,43.0,33.0,76.0,38.0,5.0,6.0,98.0,2.0,47.3,42.6,35.3,77.8,600.0,1206.0,1.13,0.87,2.0,1.0,1.87,1.24,0.93,2.17,1.12,2.05,Premier League 2024-2025
vs Crystal Palace,29,26.1,57.2,38,418.0,3420,38.0,48.0,39.0,87.0,47.0,1.0,2.0,84.0,4.0,49.1,47.5,38.5,86.0,686.0,1578.0,1.26,1.03,2.29,1.24,2.26,1.29,1.01,2.31,1.25,2.26,Premier League 2024-2025
vs Everton,26,26.2,59.1,38,418.0,3420,38.0,44.0,35.0,79.0,44.0,0.0,2.0,46.0,2.0,46.2,44.6,34.6,79.2,724.0,1627.0,1.16,0.92,2.08,1.16,2.08,1.22,0.91,2.13,1.17,2.08,Premier League 2024-2025
vs Fulham,26,26.3,47.7,38,418.0,3420,38.0,52.0,40.0,92.0,49.0,3.0,4.0,67.0,3.0,47.2,44.1,34.4,78.5,654.0,1396.0,1.37,1.05,2.42,1.29,2.34,1.24,0.91,2.15,1.16,2.06,Premier League 2024-2025
vs Ipswich Town,32,26.3,59.4,38,418.0,3420,38.0,80.0,55.0,135.0,74.0,6.0,6.0,65.0,2.0,72.7,68.3,53.5,121.8,812.0,1726.0,2.11,1.45,3.55,1.95,3.39,1.91,1.41,3.32,1.8,3.21,Premier League 2024-2025
vs Leicester City,32,26.3,54.6,38,418.0,3420,38.0,77.0,57.0,134.0,74.0,3.0,4.0,58.0,2.0,71.9,68.8,52.2,121.0,735.0,1755.0,2.03,1.5,3.53,1.95,3.45,1.89,1.37,3.27,1.81,3.19,Premier League 2024-2025
vs Liverpool,24,26.1,42.3,38,418.0,3420,38.0,39.0,28.0,67.0,38.0,1.0,2.0,84.0,2.0,38.6,36.9,29.4,66.2,683.0,1091.0,1.03,0.74,1.76,1.0,1.74,1.02,0.77,1.79,0.97,1.74,Premier League 2024-2025
