Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,League
vs Augsburg,29,34.0,577.0,357.0,254.0,250.0,73.0,280.0,508.0,55.1,228.0,418.0,97.0,321.0,270.0,847.0,857.0,17.0,Bundesliga 2024-2025
vs Bayern Munich,29,34.0,618.0,353.0,335.0,210.0,73.0,354.0,737.0,48.0,383.0,473.0,163.0,310.0,404.0,1022.0,942.0,30.0,Bundesliga 2024-2025
vs Bochum,27,34.0,474.0,308.0,211.0,203.0,60.0,239.0,406.0,58.9,167.0,430.0,125.0,305.0,300.0,774.0,1068.0,17.0,Bundesliga 2024-2025
vs Dortmund,28,34.0,641.0,374.0,348.0,235.0,58.0,334.0,675.0,49.5,341.0,429.0,146.0,283.0,312.0,953.0,908.0,25.0,Bundesliga 2024-2025
vs Eint Frankfurt,26,34.0,534.0,323.0,268.0,185.0,81.0,272.0,565.0,48.1,293.0,408.0,125.0,283.0,264.0,798.0,793.0,27.0,Bundesliga 2024-2025
vs Freiburg,26,34.0,496.0,298.0,205.0,211.0,80.0,237.0,452.0,52.4,215.0,397.0,122.0,275.0,260.0,756.0,916.0,18.0,Bundesliga 2024-2025
vs Gladbach,26,34.0,500.0,303.0,203.0,222.0,75.0,231.0,437.0,52.9,206.0,436.0,112.0,324.0,302.0,802.0,787.0,25.0,Bundesliga 2024-2025
vs Heidenheim,27,34.0,490.0,303.0,189.0,231.0,70.0,250.0,482.0,51.9,232.0,397.0,99.0,298.0,243.0,733.0,813.0,19.0,Bundesliga 2024-2025
vs Hoffenheim,35,34.0,531.0,321.0,230.0,232.0,69.0,238.0,472.0,50.4,234.0,405.0,115.0,290.0,273.0,804.0,1051.0,13.0,Bundesliga 2024-2025
vs Holstein Kiel,27,34.0,442.0,258.0,154.0,180.0,108.0,200.0,384.0,52.1,184.0,359.0,90.0,269.0,237.0,679.0,753.0,23.0,Bundesliga 2024-2025
vs Leverkusen,23,34.0,546.0,313.0,310.0,183.0,53.0,293.0,547.0,53.6,254.0,417.0,145.0,272.0,352.0,898.0,933.0,18.0,Bundesliga 2024-2025
vs Mainz 05,25,34.0,547.0,349.0,263.0,212.0,72.0,252.0,466.0,54.1,214.0,435.0,119.0,316.0,303.0,850.0,1046.0,23.0,Bundesliga 2024-2025
vs RB Leipzig,29,34.0,572.0,329.0,249.0,241.0,82.0,260.0,521.0,49.9,261.0,443.0,111.0,332.0,298.0,870.0,869.0,21.0,Bundesliga 2024-2025
vs St. Pauli,28,34.0,463.0,275.0,214.0,196.0,53.0,201.0,380.0,52.9,179.0,380.0,125.0,255.0,244.0,707.0,908.0,28.0,Bundesliga 2024-2025
vs Stuttgart,29,34.0,584.0,347.0,298.0,231.0,55.0,272.0,536.0,50.7,264.0,379.0,125.0,254.0,303.0,887.0,887.0,14.0,Bundesliga 2024-2025
vs Union Berlin,28,34.0,500.0,289.0,230.0,200.0,70.0,214.0,386.0,55.4,172.0,394.0,104.0,290.0,250.0,750.0,940.0,21.0,Bundesliga 2024-2025
vs Werder Bremen,23,34.0,496.0,306.0,218.0,202.0,76.0,240.0,435.0,55.2,195.0,440.0,122.0,318.0,317.0,813.0,873.0,18.0,Bundesliga 2024-2025
vs Wolfsburg,27,34.0,483.0,289.0,241.0,163.0,79.0,268.0,477.0,56.2,209.0,420.0,118.0,302.0,309.0,792.0,828.0,29.0,Bundesliga 2024-2025
vs Arsenal,25,38.0,698.0,420.0,406.0,214.0,78.0,316.0,636.0,49.7,320.0,410.0,180.0,230.0,261.0,959.0,1038.0,38.0,Premier League 2024-2025
vs Aston Villa,28,38.0,685.0,387.0,322.0,258.0,105.0,299.0,626.0,47.8,327.0,419.0,136.0,283.0,347.0,1032.0,869.0,30.0,Premier League 2024-2025
vs Bournemouth,29,38.0,650.0,396.0,321.0,257.0,72.0,300.0,594.0,50.5,294.0,414.0,160.0,254.0,279.0,929.0,1014.0,50.0,Premier League 2024-2025
vs Brentford,28,38.0,593.0,362.0,273.0,217.0,103.0,293.0,558.0,52.5,265.0,366.0,106.0,260.0,287.0,880.0,1036.0,32.0,Premier League 2024-2025
vs Brighton,32,38.0,726.0,408.0,370.0,274.0,82.0,382.0,720.0,53.1,338.0,409.0,147.0,262.0,320.0,1046.0,981.0,33.0,Premier League 2024-2025
vs Chelsea,29,38.0,633.0,368.0,318.0,241.0,74.0,336.0,662.0,50.8,326.0,435.0,172.0,263.0,286.0,919.0,880.0,42.0,Premier League 2024-2025
vs Crystal Palace,29,38.0,580.0,319.0,203.0,264.0,113.0,241.0,450.0,53.6,209.0,417.0,145.0,272.0,342.0,922.0,874.0,35.0,Premier League 2024-2025
vs Everton,26,38.0,695.0,424.0,322.0,276.0,97.0,305.0,588.0,51.9,283.0,349.0,103.0,246.0,235.0,930.0,924.0,25.0,Premier League 2024-2025
vs Fulham,26,38.0,535.0,306.0,237.0,226.0,72.0,254.0,542.0,46.9,288.0,423.0,148.0,275.0,336.0,871.0,995.0,27.0,Premier League 2024-2025
vs Ipswich Town,32,38.0,637.0,366.0,274.0,260.0,103.0,290.0,567.0,51.1,277.0,366.0,110.0,256.0,242.0,879.0,744.0,23.0,Premier League 2024-2025
vs Leicester City,32,38.0,640.0,411.0,223.0,288.0,129.0,304.0,568.0,53.5,264.0,355.0,95.0,260.0,269.0,909.0,807.0,23.0,Premier League 2024-2025
vs Liverpool,24,38.0,660.0,402.0,358.0,228.0,74.0,310.0,611.0,50.7,301.0,462.0,183.0,279.0,320.0,980.0,1094.0,42.0,Premier League 2024-2025
vs Manchester City,30,38.0,696.0,399.0,418.0,214.0,64.0,301.0,678.0,44.4,377.0,462.0,172.0,290.0,310.0,1006.0,956.0,33.0,Premier League 2024-2025
vs Manchester Utd,31,38.0,676.0,414.0,315.0,257.0,104.0,323.0,575.0,56.2,252.0,475.0,164.0,311.0,325.0,1001.0,858.0,20.0,Premier League 2024-2025
vs Newcastle Utd,24,38.0,736.0,433.0,327.0,298.0,111.0,298.0,580.0,51.4,282.0,462.0,150.0,312.0,301.0,1037.0,893.0,44.0,Premier League 2024-2025
