Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League
vs Augsburg,2,34.0,35.0,1.0,0.0,4.0,0.0,32.1,0.26,-2.9,-0.08,150.0,410.0,36.6,1110.0,150.0,27.8,31.2,272.0,37.1,35.7,446.0,20.0,4.5,36.0,1.06,13.9,Bundesliga 2024-2025
vs Bayern Munich,4,34.0,99.0,9.0,2.0,7.0,3.0,98.9,0.35,2.9,0.08,263.0,701.0,37.5,1105.0,139.0,51.6,40.7,328.0,39.9,33.1,499.0,28.0,5.6,11.0,0.32,9.0,Bundesliga 2024-2025
vs Bochum,2,34.0,32.0,1.0,0.0,4.0,0.0,42.4,0.3,10.4,0.31,155.0,448.0,34.6,1022.0,149.0,35.8,34.6,249.0,32.9,31.4,509.0,37.0,7.3,43.0,1.26,14.1,Bundesliga 2024-2025
vs Dortmund,2,34.0,71.0,5.0,1.0,7.0,2.0,58.4,0.34,-10.6,-0.31,191.0,512.0,37.3,960.0,144.0,39.6,36.1,276.0,47.8,38.7,549.0,40.0,7.3,42.0,1.24,13.0,Bundesliga 2024-2025
vs Eint Frankfurt,2,34.0,68.0,3.0,2.0,9.0,0.0,68.5,0.37,0.5,0.01,201.0,534.0,37.6,1108.0,152.0,37.2,35.2,280.0,43.6,37.0,428.0,25.0,5.8,41.0,1.21,16.0,Bundesliga 2024-2025
vs Freiburg,2,34.0,49.0,0.0,2.0,7.0,3.0,49.6,0.36,3.6,0.1,178.0,428.0,41.6,1176.0,173.0,27.7,30.8,215.0,47.4,38.2,445.0,27.0,6.1,19.0,0.56,11.6,Bundesliga 2024-2025
vs Gladbach,4,34.0,55.0,4.0,0.0,9.0,2.0,57.0,0.34,4.0,0.12,125.0,360.0,34.7,922.0,138.0,30.8,32.1,204.0,37.3,32.3,481.0,26.0,5.4,40.0,1.18,14.7,Bundesliga 2024-2025
vs Heidenheim,2,34.0,37.0,5.0,1.0,4.0,0.0,41.3,0.29,4.3,0.13,161.0,432.0,37.3,983.0,135.0,33.4,33.3,252.0,41.3,35.6,461.0,26.0,5.6,51.0,1.5,15.9,Bundesliga 2024-2025
vs Hoffenheim,2,34.0,46.0,3.0,1.0,4.0,0.0,44.6,0.28,-1.4,-0.04,202.0,479.0,42.2,1016.0,147.0,37.3,35.4,246.0,40.7,34.9,561.0,26.0,4.6,33.0,0.97,13.9,Bundesliga 2024-2025
vs Holstein Kiel,2,34.0,49.0,4.0,1.0,5.0,0.0,45.9,0.32,-3.1,-0.09,144.0,403.0,35.7,908.0,136.0,33.4,34.0,220.0,45.5,39.6,396.0,31.0,7.8,55.0,1.62,16.3,Bundesliga 2024-2025
vs Leverkusen,2,34.0,72.0,3.0,1.0,10.0,2.0,60.7,0.3,-9.3,-0.27,176.0,533.0,33.0,1042.0,123.0,40.1,36.4,262.0,43.9,36.3,595.0,19.0,3.2,30.0,0.88,12.5,Bundesliga 2024-2025
vs Mainz 05,2,34.0,55.0,4.0,2.0,1.0,2.0,51.8,0.35,-1.2,-0.04,220.0,633.0,34.8,1124.0,117.0,44.7,38.2,284.0,46.1,37.4,497.0,24.0,4.8,50.0,1.47,14.5,Bundesliga 2024-2025
vs RB Leipzig,2,34.0,53.0,3.0,1.0,4.0,2.0,50.7,0.33,-0.3,-0.01,183.0,473.0,38.7,1017.0,136.0,36.4,34.8,216.0,47.7,38.9,449.0,24.0,5.3,38.0,1.12,15.3,Bundesliga 2024-2025
vs St. Pauli,2,34.0,28.0,1.0,0.0,1.0,2.0,30.0,0.26,4.0,0.12,179.0,421.0,42.5,1042.0,138.0,30.5,31.4,251.0,41.0,35.4,466.0,42.0,9.0,55.0,1.62,14.4,Bundesliga 2024-2025
vs Stuttgart,1,34.0,64.0,2.0,1.0,11.0,3.0,61.3,0.33,0.3,0.01,189.0,543.0,34.8,1075.0,125.0,39.3,35.8,257.0,47.1,38.5,495.0,28.0,5.7,46.0,1.35,15.0,Bundesliga 2024-2025
vs Union Berlin,2,34.0,36.0,3.0,0.0,8.0,0.0,36.5,0.28,0.5,0.02,142.0,463.0,30.7,1131.0,187.0,31.0,32.6,260.0,43.1,35.7,481.0,28.0,5.8,44.0,1.29,14.9,Bundesliga 2024-2025
vs Werder Bremen,1,34.0,54.0,3.0,2.0,7.0,1.0,50.0,0.33,-3.0,-0.09,172.0,525.0,32.8,1086.0,153.0,37.5,35.1,251.0,47.0,38.9,531.0,32.0,6.0,66.0,1.94,15.9,Bundesliga 2024-2025
vs Wolfsburg,2,34.0,56.0,4.0,1.0,12.0,3.0,49.6,0.33,-3.4,-0.1,176.0,435.0,40.5,983.0,127.0,33.4,33.7,257.0,41.6,35.4,478.0,26.0,5.4,39.0,1.15,13.4,Bundesliga 2024-2025
vs Arsenal,1,38.0,69.0,2.0,0.0,12.0,2.0,61.5,0.35,-5.5,-0.14,215.0,661.0,32.5,1123.0,116.0,44.9,37.7,309.0,50.8,39.1,602.0,33.0,5.5,33.0,0.87,11.8,Premier League 2024-2025
vs Aston Villa,2,38.0,58.0,3.0,0.0,9.0,2.0,57.7,0.33,1.7,0.04,149.0,380.0,39.2,882.0,167.0,30.6,32.4,262.0,42.0,34.2,462.0,40.0,8.7,44.0,1.16,13.1,Premier League 2024-2025
vs Bournemouth,3,38.0,58.0,6.0,1.0,5.0,1.0,65.0,0.3,8.0,0.21,242.0,673.0,36.0,1233.0,155.0,41.2,36.5,343.0,48.1,37.5,637.0,47.0,7.4,50.0,1.32,13.7,Premier League 2024-2025
vs Brentford,2,38.0,66.0,5.0,0.0,5.0,1.0,67.3,0.36,2.3,0.06,187.0,583.0,32.1,1160.0,184.0,40.3,35.7,252.0,45.6,36.6,534.0,44.0,8.2,67.0,1.76,15.6,Premier League 2024-2025
vs Brighton,2,38.0,66.0,7.0,2.0,6.0,2.0,67.8,0.33,3.8,0.1,204.0,619.0,33.0,1368.0,187.0,35.5,33.4,298.0,44.6,36.2,541.0,29.0,5.4,64.0,1.68,15.8,Premier League 2024-2025
vs Chelsea,2,38.0,64.0,4.0,2.0,7.0,3.0,68.9,0.32,7.9,0.21,180.0,583.0,30.9,1207.0,196.0,36.5,34.1,310.0,45.8,37.0,495.0,33.0,6.7,44.0,1.16,13.7,Premier League 2024-2025
vs Crystal Palace,1,38.0,51.0,3.0,1.0,10.0,2.0,57.5,0.31,8.5,0.22,179.0,449.0,39.9,1224.0,206.0,27.8,30.3,248.0,44.0,36.8,490.0,39.0,8.0,54.0,1.42,14.4,Premier League 2024-2025
vs Everton,1,38.0,42.0,2.0,1.0,4.0,3.0,40.3,0.28,1.3,0.03,101.0,332.0,30.4,1107.0,201.0,22.6,29.1,244.0,33.6,30.9,539.0,43.0,8.0,33.0,0.87,12.5,Premier League 2024-2025
vs Fulham,1,38.0,54.0,3.0,0.0,3.0,1.0,55.3,0.31,2.3,0.06,140.0,480.0,29.2,1017.0,166.0,35.0,34.2,296.0,41.9,35.6,661.0,33.0,5.0,48.0,1.26,14.6,Premier League 2024-2025
vs Ipswich Town,3,38.0,36.0,2.0,0.0,4.0,1.0,35.3,0.28,0.3,0.01,105.0,439.0,23.9,1154.0,112.0,29.5,31.8,206.0,48.1,38.6,388.0,37.0,9.5,46.0,1.21,15.0,Premier League 2024-2025
vs Leicester City,3,38.0,33.0,2.0,0.0,3.0,0.0,33.6,0.3,0.6,0.02,124.0,336.0,36.9,1008.0,150.0,25.0,30.1,227.0,37.0,33.4,469.0,35.0,7.5,47.0,1.24,14.4,Premier League 2024-2025
vs Liverpool,3,38.0,86.0,9.0,0.0,8.0,1.0,78.3,0.32,-6.7,-0.18,181.0,551.0,32.8,1073.0,173.0,37.7,35.1,347.0,42.1,34.4,610.0,36.0,5.9,44.0,1.16,12.7,Premier League 2024-2025
vs Manchester City,2,38.0,72.0,3.0,1.0,6.0,1.0,69.2,0.32,-1.8,-0.05,191.0,559.0,34.2,1199.0,158.0,36.4,33.8,295.0,41.7,35.6,484.0,36.0,7.4,30.0,0.79,12.2,Premier League 2024-2025
vs Manchester Utd,2,38.0,44.0,4.0,2.0,6.0,2.0,43.3,0.24,1.3,0.04,139.0,496.0,28.0,1094.0,145.0,34.1,33.3,257.0,47.9,38.6,509.0,36.0,7.1,59.0,1.55,14.6,Premier League 2024-2025
vs Newcastle Utd,2,38.0,68.0,5.0,0.0,5.0,2.0,65.3,0.36,-0.7,-0.02,268.0,777.0,34.5,1175.0,160.0,51.3,40.1,310.0,56.1,42.1,535.0,44.0,8.2,44.0,1.16,12.8,Premier League 2024-2025
vs Nott'ham Forest,1,38.0,58.0,3.0,0.0,10.0,1.0,53.6,0.32,-3.4,-0.09,86.0,335.0,25.7,1012.0,184.0,26.8,30.3,261.0,24.5,26.1,492.0,36.0,7.3,51.0,1.34,14.2,Premier League 2024-2025
vs Southampton,3,38.0,26.0,0.0,0.0,2.0,1.0,29.8,0.27,4.8,0.13,103.0,356.0,28.9,989.0,129.0,30.2,32.1,176.0,32.4,29.8,443.0,35.0,7.9,37.0,0.97,15.4,Premier League 2024-2025
vs Tottenham,4,38.0,64.0,3.0,1.0,9.0,3.0,57.8,0.31,-3.2,-0.08,214.0,616.0,34.7,1007.0,149.0,45.3,37.6,271.0,59.0,44.4,576.0,34.0,5.9,28.0,0.74,12.1,Premier League 2024-2025
vs West Ham,2,38.0,46.0,3.0,1.0,5.0,3.0,43.7,0.3,0.7,0.02,164.0,494.0,33.2,1101.0,146.0,36.4,34.1,239.0,38.9,33.2,454.0,35.0,7.7,39.0,1.03,14.1,Premier League 2024-2025
vs Wolves,4,38.0,54.0,0.0,1.0,5.0,1.0,45.1,0.29,-7.9,-0.21,140.0,421.0,33.3,1085.0,170.0,30.9,32.9,260.0,33.1,30.6,428.0,28.0,6.5,52.0,1.37,15.4,Premier League 2024-2025
