Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League
Augsburg,29,44.3,34.0,19036.0,2215.0,6126.0,8404.0,4701.0,681.0,19034.0,555.0,228.0,41.1,280.0,50.5,10166.0,48245.0,23696.0,450.0,356.0,97.0,587.0,297.0,11478.0,1149.0,Bundesliga 2024-2025
Bayern Munich,29,67.9,34.0,29435.0,1651.0,6130.0,14825.0,8664.0,1212.0,29425.0,791.0,383.0,48.4,354.0,44.8,18048.0,90011.0,45625.0,831.0,683.0,265.0,495.0,264.0,22614.0,2125.0,Bundesliga 2024-2025
Bochum,27,45.5,34.0,18311.0,2240.0,6257.0,8021.0,4198.0,683.0,18308.0,421.0,167.0,39.7,239.0,56.8,9051.0,42773.0,19107.0,378.0,292.0,89.0,524.0,235.0,10164.0,1077.0,Bundesliga 2024-2025
Dortmund,28,58.9,34.0,24214.0,2170.0,6972.0,11525.0,5921.0,916.0,24208.0,747.0,341.0,45.6,334.0,44.7,14567.0,72244.0,36951.0,701.0,522.0,219.0,502.0,307.0,16922.0,1555.0,Bundesliga 2024-2025
Eint Frankfurt,26,49.7,34.0,21315.0,2574.0,7332.0,9549.0,4619.0,871.0,21310.0,609.0,293.0,48.1,272.0,44.7,12239.0,59330.0,29809.0,585.0,428.0,188.0,561.0,262.0,13804.0,1337.0,Bundesliga 2024-2025
Freiburg,26,48.7,34.0,20178.0,2220.0,6656.0,9166.0,4504.0,722.0,20174.0,486.0,215.0,44.2,237.0,48.8,10294.0,54032.0,26564.0,442.0,319.0,119.0,456.0,259.0,12683.0,1120.0,Bundesliga 2024-2025
Gladbach,26,49.6,34.0,21519.0,2921.0,8283.0,9361.0,4035.0,702.0,21514.0,469.0,206.0,43.9,231.0,49.3,11672.0,58507.0,29577.0,530.0,360.0,131.0,420.0,269.0,14002.0,1104.0,Bundesliga 2024-2025
Heidenheim,27,43.5,34.0,18836.0,2427.0,7356.0,7915.0,3789.0,619.0,18831.0,532.0,232.0,43.6,250.0,47.0,10014.0,52086.0,26117.0,516.0,347.0,94.0,537.0,240.0,11035.0,959.0,Bundesliga 2024-2025
Hoffenheim,35,48.7,34.0,20591.0,2338.0,6644.0,9219.0,4904.0,762.0,20588.0,505.0,234.0,46.3,238.0,47.1,10884.0,51798.0,25062.0,481.0,391.0,124.0,451.0,293.0,12717.0,1208.0,Bundesliga 2024-2025
Holstein Kiel,27,43.6,34.0,18172.0,2860.0,7924.0,7386.0,3022.0,572.0,18167.0,424.0,184.0,43.4,200.0,47.2,8483.0,41193.0,19640.0,359.0,261.0,81.0,504.0,242.0,10453.0,860.0,Bundesliga 2024-2025
Leverkusen,23,59.2,34.0,25098.0,1888.0,5876.0,12171.0,7188.0,918.0,25092.0,584.0,254.0,43.5,293.0,50.2,13865.0,67255.0,35710.0,696.0,496.0,181.0,458.0,253.0,18137.0,1678.0,Bundesliga 2024-2025
Mainz 05,25,50.4,34.0,20675.0,2193.0,6705.0,9124.0,5015.0,782.0,20671.0,496.0,214.0,43.1,252.0,50.8,10562.0,48693.0,22087.0,466.0,334.0,119.0,593.0,295.0,12386.0,1272.0,Bundesliga 2024-2025
RB Leipzig,29,52.2,34.0,22396.0,2257.0,6793.0,10962.0,4856.0,757.0,22392.0,580.0,261.0,45.0,260.0,44.8,11429.0,54894.0,27778.0,516.0,392.0,136.0,510.0,312.0,14621.0,1346.0,Bundesliga 2024-2025
St. Pauli,28,44.2,34.0,19141.0,2257.0,6816.0,8232.0,4244.0,648.0,19139.0,429.0,179.0,41.7,201.0,46.9,9105.0,45927.0,22922.0,418.0,326.0,122.0,476.0,262.0,11611.0,1057.0,Bundesliga 2024-2025
Stuttgart,29,57.2,34.0,23545.0,2241.0,6719.0,11421.0,5572.0,945.0,23539.0,566.0,264.0,46.6,272.0,48.1,13416.0,68876.0,32190.0,545.0,434.0,170.0,499.0,312.0,16334.0,1478.0,Bundesliga 2024-2025
Union Berlin,28,40.0,34.0,17834.0,2167.0,6285.0,7721.0,3997.0,688.0,17831.0,420.0,172.0,41.0,214.0,51.0,8875.0,42427.0,20269.0,390.0,252.0,107.0,472.0,286.0,9874.0,1032.0,Bundesliga 2024-2025
Werder Bremen,23,50.0,34.0,21493.0,2477.0,7701.0,9226.0,4721.0,818.0,21488.0,477.0,195.0,40.9,240.0,50.3,12439.0,58079.0,27735.0,495.0,347.0,126.0,493.0,256.0,13899.0,1343.0,Bundesliga 2024-2025
Wolfsburg,27,46.1,34.0,19121.0,2295.0,6603.0,8190.0,4491.0,725.0,19116.0,514.0,209.0,40.7,268.0,52.1,10180.0,49144.0,23417.0,489.0,338.0,131.0,504.0,215.0,11456.0,1196.0,Bundesliga 2024-2025
Arsenal,25,56.9,38.0,24056.0,1844.0,6064.0,10362.0,7808.0,1282.0,24054.0,726.0,320.0,44.1,316.0,43.5,14234.0,75544.0,40246.0,852.0,540.0,286.0,483.0,382.0,16894.0,1801.0,Premier League 2024-2025
Aston Villa,28,50.5,38.0,21699.0,2646.0,7301.0,9257.0,5362.0,951.0,21693.0,726.0,327.0,45.0,299.0,41.2,12334.0,68906.0,36242.0,720.0,448.0,212.0,508.0,386.0,14423.0,1331.0,Premier League 2024-2025
Bournemouth,29,48.5,38.0,21618.0,2217.0,6444.0,9314.0,6128.0,1005.0,21611.0,672.0,294.0,43.8,300.0,44.6,11733.0,69030.0,36709.0,754.0,534.0,228.0,597.0,350.0,12855.0,1474.0,Premier League 2024-2025
Brentford,28,47.9,38.0,21491.0,3282.0,8328.0,8055.0,5310.0,987.0,21485.0,627.0,265.0,42.3,293.0,46.7,11412.0,61938.0,31661.0,598.0,380.0,213.0,549.0,300.0,13153.0,1339.0,Premier League 2024-2025
Brighton,32,52.3,38.0,23677.0,2601.0,7503.0,10292.0,6153.0,1085.0,23670.0,797.0,338.0,42.4,382.0,47.9,13919.0,76882.0,41746.0,816.0,576.0,263.0,583.0,344.0,15637.0,1522.0,Premier League 2024-2025
Chelsea,29,57.1,38.0,25217.0,2410.0,7564.0,11375.0,6497.0,1115.0,25212.0,783.0,326.0,41.6,336.0,42.9,14501.0,78314.0,41394.0,861.0,493.0,317.0,466.0,297.0,17888.0,1576.0,Premier League 2024-2025
Crystal Palace,29,42.8,38.0,20389.0,2570.0,7689.0,8441.0,4456.0,797.0,20385.0,500.0,209.0,41.8,241.0,48.2,10275.0,51887.0,25304.0,510.0,354.0,126.0,491.0,339.0,11783.0,1140.0,Premier League 2024-2025
Everton,26,40.9,38.0,19408.0,2462.0,6930.0,7927.0,4762.0,732.0,19406.0,636.0,283.0,44.5,305.0,48.0,9535.0,51039.0,25414.0,486.0,364.0,119.0,525.0,390.0,11309.0,1023.0,Premier League 2024-2025
Fulham,26,52.3,38.0,23926.0,2641.0,8095.0,9787.0,6287.0,954.0,23922.0,637.0,288.0,45.2,254.0,39.9,14026.0,73723.0,38440.0,786.0,544.0,213.0,515.0,281.0,16043.0,1544.0,Premier League 2024-2025
Ipswich Town,32,40.6,38.0,19091.0,3012.0,7764.0,7504.0,4032.0,605.0,19089.0,643.0,277.0,43.1,290.0,45.1,9384.0,53235.0,26144.0,513.0,330.0,150.0,538.0,347.0,11405.0,920.0,Premier League 2024-2025
Leicester City,32,45.4,38.0,21748.0,2881.0,8066.0,9845.0,4048.0,632.0,21745.0,638.0,264.0,41.4,304.0,47.6,12276.0,61780.0,30421.0,576.0,365.0,143.0,500.0,336.0,13828.0,1072.0,Premier League 2024-2025
Liverpool,24,57.7,38.0,25905.0,2422.0,7285.0,11575.0,7274.0,1315.0,25896.0,677.0,301.0,44.5,310.0,45.8,14931.0,76208.0,41047.0,825.0,558.0,322.0,532.0,350.0,18113.0,1910.0,Premier League 2024-2025
Manchester City,30,61.3,38.0,28103.0,2092.0,6503.0,12076.0,9753.0,1348.0,28099.0,799.0,377.0,47.2,301.0,37.7,18077.0,103744.0,56163.0,1146.0,863.0,404.0,476.0,395.0,21242.0,1920.0,Premier League 2024-2025
Manchester Utd,31,53.5,38.0,24734.0,2553.0,8593.0,10460.0,5908.0,967.0,24730.0,621.0,252.0,40.6,323.0,52.0,15116.0,75007.0,37992.0,697.0,475.0,230.0,521.0,353.0,16672.0,1433.0,Premier League 2024-2025
Newcastle Utd,24,51.3,38.0,23032.0,2284.0,7468.0,9671.0,6124.0,1082.0,23026.0,657.0,282.0,42.9,298.0,45.4,13016.0,71021.0,36065.0,759.0,474.0,263.0,491.0,438.0,15294.0,1583.0,Premier League 2024-2025
Nott'ham Forest,23,41.2,38.0,18996.0,2463.0,6477.0,7689.0,5063.0,785.0,18993.0,581.0,259.0,44.6,233.0,40.1,8768.0,49825.0,26563.0,633.0,384.0,187.0,563.0,324.0,10733.0,1117.0,Premier League 2024-2025
Southampton,36,48.5,38.0,22776.0,3003.0,8424.0,9788.0,4766.0,688.0,22774.0,736.0,312.0,42.4,333.0,45.2,12656.0,66945.0,34286.0,640.0,460.0,165.0,486.0,355.0,15394.0,1118.0,Premier League 2024-2025
Tottenham,31,54.7,38.0,24315.0,2626.0,8159.0,10173.0,6223.0,1001.0,24311.0,812.0,308.0,37.9,425.0,52.3,15073.0,82903.0,41758.0,840.0,566.0,249.0,538.0,426.0,16373.0,1582.0,Premier League 2024-2025
West Ham,27,48.4,38.0,22887.0,2942.0,8352.0,9852.0,4896.0,839.0,22884.0,793.0,347.0,43.8,360.0,45.4,11796.0,59439.0,29684.0,632.0,394.0,175.0,492.0,392.0,14712.0,1214.0,Premier League 2024-2025
Wolves,32,48.1,38.0,22329.0,2578.0,7797.0,10051.0,4750.0,729.0,22328.0,731.0,324.0,44.3,315.0,43.1,12486.0,66974.0,34365.0,607.0,458.0,146.0,591.0,369.0,14358.0,1179.0,Premier League 2024-2025
Alavés,29,45.3,38.0,19070.0,1876.0,5802.0,8634.0,4809.0,691.0,19059.0,478.0,185.0,38.7,245.0,51.3,9128.0,45578.0,22946.0,449.0,346.0,90.0,598.0,307.0,10419.0,1148.0,La Liga 2024-2025
Athletic Club,31,48.4,38.0,21761.0,1884.0,6255.0,10334.0,5382.0,760.0,21755.0,791.0,328.0,41.5,388.0,49.1,11368.0,61421.0,32773.0,682.0,444.0,188.0,597.0,401.0,13522.0,1561.0,La Liga 2024-2025
Atlético Madrid,24,52.6,38.0,25387.0,2335.0,8013.0,11493.0,6074.0,860.0,25380.0,639.0,276.0,43.2,305.0,47.7,15829.0,77524.0,41305.0,760.0,579.0,167.0,541.0,275.0,17707.0,1553.0,La Liga 2024-2025
Barcelona,28,68.3,38.0,29805.0,1857.0,6516.0,14966.0,8535.0,1208.0,29797.0,909.0,455.0,50.1,375.0,41.3,18077.0,92092.0,49435.0,860.0,667.0,238.0,579.0,316.0,22187.0,2201.0,La Liga 2024-2025
Betis,36,52.4,38.0,23872.0,2253.0,7466.0,10545.0,6088.0,921.0,23862.0,722.0,312.0,43.2,344.0,47.6,13910.0,69976.0,36269.0,679.0,532.0,228.0,676.0,378.0,15627.0,1468.0,La Liga 2024-2025
Celta Vigo,30,53.6,38.0,25123.0,2232.0,7618.0,12133.0,5574.0,831.0,25114.0,628.0,254.0,40.4,312.0,49.7,15010.0,75647.0,39392.0,709.0,500.0,218.0,558.0,296.0,17691.0,1649.0,La Liga 2024-2025
Espanyol,27,39.8,38.0,18406.0,2655.0,7408.0,7625.0,3582.0,548.0,18401.0,546.0,221.0,40.5,266.0,48.7,9361.0,52875.0,28280.0,497.0,359.0,109.0,561.0,241.0,10490.0,991.0,La Liga 2024-2025
Getafe,30,41.8,38.0,17605.0,1770.0,5183.0,7998.0,4646.0,675.0,17600.0,631.0,265.0,42.0,312.0,49.4,7825.0,40262.0,19034.0,368.0,311.0,105.0,719.0,357.0,8611.0,966.0,La Liga 2024-2025
Girona,30,56.3,38.0,25088.0,2516.0,7829.0,11533.0,5912.0,795.0,25083.0,634.0,291.0,45.9,276.0,43.5,15275.0,86324.0,44108.0,765.0,553.0,180.0,522.0,312.0,18040.0,1684.0,La Liga 2024-2025
Las Palmas,34,50.7,38.0,22497.0,2561.0,7809.0,10353.0,4511.0,669.0,22493.0,571.0,239.0,41.9,288.0,50.4,11365.0,56979.0,28603.0,499.0,346.0,113.0,547.0,275.0,14222.0,1197.0,La Liga 2024-2025
Leganés,26,42.6,38.0,19312.0,2448.0,7029.0,8720.0,3764.0,482.0,19305.0,627.0,302.0,48.2,263.0,41.9,9782.0,47776.0,24033.0,417.0,364.0,105.0,575.0,314.0,11128.0,1023.0,La Liga 2024-2025
Mallorca,28,46.8,38.0,20649.0,2598.0,7168.0,9299.0,4391.0,635.0,20644.0,583.0,255.0,43.7,260.0,44.6,10945.0,56532.0,26760.0,479.0,409.0,85.0,567.0,377.0,12481.0,1169.0,La Liga 2024-2025
Osasuna,25,46.1,38.0,20036.0,2263.0,6318.0,8904.0,5007.0,737.0,20027.0,592.0,260.0,43.9,279.0,47.1,10439.0,54365.0,27022.0,567.0,424.0,134.0,532.0,293.0,12053.0,1204.0,La Liga 2024-2025
Rayo Vallecano,26,51.7,38.0,22372.0,2557.0,7799.0,9339.0,5455.0,711.0,22371.0,647.0,286.0,44.2,304.0,47.0,12068.0,58402.0,29156.0,589.0,431.0,143.0,630.0,327.0,13833.0,1346.0,La Liga 2024-2025
Real Madrid,30,60.4,38.0,28252.0,2392.0,7662.0,12794.0,8048.0,1181.0,28238.0,878.0,412.0,46.9,384.0,43.7,17893.0,93355.0,50356.0,983.0,696.0,364.0,528.0,290.0,21223.0,1953.0,La Liga 2024-2025
Real Sociedad,31,53.8,38.0,23027.0,2275.0,7208.0,10770.0,5243.0,747.0,23023.0,659.0,295.0,44.8,307.0,46.6,12533.0,67115.0,34084.0,645.0,417.0,163.0,603.0,297.0,14716.0,1325.0,La Liga 2024-2025
Sevilla,35,50.5,38.0,22465.0,2404.0,8057.0,9800.0,4813.0,669.0,22462.0,720.0,339.0,47.1,320.0,44.4,11147.0,58366.0,29786.0,594.0,397.0,161.0,624.0,331.0,14288.0,1186.0,La Liga 2024-2025
Valencia,32,48.4,38.0,21876.0,2290.0,7206.0,9840.0,5033.0,653.0,21871.0,625.0,236.0,37.8,321.0,51.4,11347.0,59375.0,30877.0,572.0,414.0,122.0,534.0,340.0,13802.0,1328.0,La Liga 2024-2025
Valladolid,38,42.8,38.0,19507.0,2681.0,8158.0,8153.0,3393.0,523.0,19502.0,624.0,289.0,46.3,266.0,42.6,9680.0,54312.0,27524.0,476.0,316.0,120.0,513.0,268.0,11933.0,976.0,La Liga 2024-2025
Villarreal,31,47.6,38.0,22112.0,2612.0,7831.0,9120.0,5352.0,983.0,22105.0,627.0,279.0,44.5,278.0,44.3,12034.0,63384.0,34540.0,693.0,503.0,202.0,560.0,289.0,14383.0,1510.0,La Liga 2024-2025
Atalanta,32,55.3,38.0,25020.0,2035.0,6907.0,11325.0,7007.0,1076.0,25013.0,645.0,257.0,39.8,330.0,51.2,15076.0,80503.0,42064.0,897.0,696.0,254.0,574.0,362.0,17329.0,1808.0,Serie A 2024-2025
Bologna,30,58.1,38.0,23304.0,2070.0,6703.0,10984.0,5817.0,831.0,23297.0,555.0,221.0,39.8,266.0,47.9,13684.0,70992.0,33468.0,639.0,422.0,167.0,598.0,361.0,15512.0,1457.0,Serie A 2024-2025
Cagliari,28,44.9,38.0,19802.0,2531.0,7637.0,8203.0,4166.0,645.0,19799.0,552.0,228.0,41.3,274.0,49.6,10679.0,52998.0,25903.0,506.0,339.0,115.0,585.0,294.0,11974.0,1140.0,Serie A 2024-2025
Como,38,54.6,38.0,23246.0,2359.0,7668.0,10461.0,5315.0,791.0,23244.0,622.0,264.0,42.4,288.0,46.3,14108.0,70678.0,35128.0,658.0,463.0,202.0,577.0,360.0,15729.0,1371.0,Serie A 2024-2025
Empoli,34,41.7,38.0,18255.0,2279.0,6509.0,8088.0,3861.0,562.0,18252.0,505.0,212.0,42.0,238.0,47.1,8486.0,43445.0,20518.0,428.0,284.0,102.0,594.0,349.0,9986.0,1004.0,Serie A 2024-2025
Fiorentina,34,51.0,38.0,21431.0,2419.0,7306.0,9857.0,4479.0,671.0,21423.0,600.0,270.0,45.0,254.0,42.3,12538.0,66795.0,32278.0,620.0,479.0,164.0,535.0,306.0,14051.0,1226.0,Serie A 2024-2025
Genoa,37,45.6,38.0,20080.0,2523.0,7477.0,8829.0,3958.0,644.0,20078.0,505.0,187.0,37.0,260.0,51.5,10006.0,52887.0,25471.0,470.0,343.0,112.0,593.0,289.0,11902.0,967.0,Serie A 2024-2025
Hellas Verona,32,38.7,38.0,17659.0,2055.0,5973.0,8025.0,3869.0,532.0,17657.0,508.0,228.0,44.9,233.0,45.9,8757.0,47190.0,22203.0,449.0,338.0,100.0,533.0,254.0,9765.0,998.0,Serie A 2024-2025
Inter,26,59.4,38.0,26215.0,2510.0,7834.0,12203.0,6361.0,1048.0,26206.0,407.0,158.0,38.8,199.0,48.9,16253.0,81857.0,40921.0,694.0,566.0,155.0,423.0,242.0,19251.0,1717.0,Serie A 2024-2025
Juventus,29,57.2,38.0,25202.0,2320.0,7729.0,11766.0,5913.0,856.0,25196.0,658.0,309.0,47.0,300.0,45.6,15347.0,86896.0,45140.0,810.0,558.0,216.0,568.0,293.0,18089.0,1548.0,Serie A 2024-2025
Lazio,27,55.1,38.0,23200.0,2262.0,6760.0,11033.0,5654.0,928.0,23193.0,628.0,296.0,47.1,266.0,42.4,13530.0,76731.0,39821.0,774.0,587.0,189.0,469.0,310.0,16281.0,1580.0,Serie A 2024-2025
Lecce,31,43.8,38.0,19445.0,2594.0,7211.0,8380.0,4085.0,605.0,19441.0,547.0,237.0,43.3,248.0,45.3,9704.0,52572.0,25490.0,519.0,349.0,121.0,572.0,290.0,11350.0,1062.0,Serie A 2024-2025
Milan,35,53.9,38.0,22849.0,2115.0,7299.0,10263.0,5518.0,966.0,22841.0,721.0,343.0,47.6,309.0,42.9,14001.0,80439.0,44096.0,915.0,648.0,269.0,513.0,288.0,16145.0,1572.0,Serie A 2024-2025
Monza,36,48.5,38.0,21338.0,2852.0,8271.0,9181.0,4056.0,480.0,21335.0,507.0,220.0,43.4,227.0,44.8,12954.0,65264.0,31645.0,533.0,413.0,89.0,510.0,334.0,14106.0,1081.0,Serie A 2024-2025
Napoli,27,54.6,38.0,23892.0,2258.0,7471.0,11310.0,5295.0,869.0,23887.0,611.0,244.0,39.9,286.0,46.8,13244.0,69492.0,35365.0,739.0,443.0,207.0,473.0,326.0,16735.0,1530.0,Serie A 2024-2025
Parma,32,44.2,38.0,19903.0,2706.0,7204.0,8455.0,4468.0,655.0,19896.0,587.0,249.0,42.4,276.0,47.0,11305.0,58058.0,29684.0,578.0,416.0,168.0,548.0,297.0,12339.0,1049.0,Serie A 2024-2025
