Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,League,Season
Augsburg,29,26.8,44.3,34,374,"3,060",34.0,35,26,61,34,1,2,78,5,34.7,33.1,25.1,58.2,450,1162,1.03,0.76,1.79,1.0,1.76,1.02,0.74,1.76,0.97,1.71,Bundesliga,2024/25
Bayern Munich,29,27.7,67.9,34,374,"3,060",34.0,96,66,162,87,9,10,48,1,81.7,74.0,59.7,133.7,831,2138,2.82,1.94,4.76,2.56,4.5,2.4,1.76,4.16,2.18,3.93,Bundesliga,2024/25
Bochum,27,28.0,45.5,34,374,"3,060",34.0,32,23,55,31,1,3,71,2,41.8,39.3,30.0,69.4,378,1090,0.94,0.68,1.62,0.91,1.59,1.23,0.88,2.11,1.16,2.04,Bundesliga,2024/25
Dortmund,28,26.6,58.9,34,374,"3,060",34.0,69,56,125,64,5,6,71,6,61.2,56.5,47.4,103.9,701,1563,2.03,1.65,3.68,1.88,3.53,1.8,1.39,3.19,1.66,3.06,Bundesliga,2024/25
Eint Frankfurt,26,24.9,49.7,34,374,"3,060",34.0,68,47,115,65,3,5,55,1,65.1,61.4,45.2,106.6,585,1347,2.0,1.38,3.38,1.91,3.29,1.91,1.33,3.24,1.81,3.13,Bundesliga,2024/25
Freiburg,26,27.1,48.7,34,374,"3,060",34.0,46,35,81,46,0,4,54,2,44.3,41.1,30.5,71.7,442,1129,1.35,1.03,2.38,1.35,2.38,1.3,0.9,2.2,1.21,2.11,Bundesliga,2024/25
Gladbach,26,26.5,49.6,34,374,"3,060",34.0,53,39,92,49,4,5,53,3,50.6,46.6,37.7,84.3,530,1112,1.56,1.15,2.71,1.44,2.59,1.49,1.11,2.6,1.37,2.48,Bundesliga,2024/25
Heidenheim,27,26.8,43.5,34,374,"3,060",34.0,37,26,63,32,5,5,66,1,40.3,36.3,28.6,64.9,516,974,1.09,0.76,1.85,0.94,1.71,1.18,0.84,2.02,1.07,1.91,Bundesliga,2024/25
Hoffenheim,35,26.5,48.7,34,374,"3,060",34.0,46,30,76,43,3,3,66,2,42.6,40.3,32.7,73.0,481,1218,1.35,0.88,2.24,1.26,2.15,1.25,0.96,2.22,1.19,2.15,Bundesliga,2024/25
Holstein Kiel,27,25.6,43.6,34,374,"3,060",34.0,49,29,78,45,4,5,77,4,39.8,35.9,26.7,62.6,359,875,1.44,0.85,2.29,1.32,2.18,1.17,0.79,1.96,1.06,1.84,Bundesliga,2024/25
