Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,League,league_name,season,season_start
Augsburg,29,34.0,464.0,300.0,198.0,202.0,64.0,233.0,430.0,54.2,197.0,417.0,121.0,296.0,341.0,805.0,971.0,16.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Bayern Munich,29,34.0,506.0,300.0,166.0,233.0,107.0,250.0,450.0,55.6,200.0,318.0,52.0,266.0,232.0,738.0,518.0,23.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Bochum,27,34.0,600.0,360.0,318.0,207.0,75.0,306.0,572.0,53.5,266.0,475.0,142.0,333.0,294.0,894.0,906.0,23.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Dortmund,28,34.0,523.0,319.0,232.0,196.0,95.0,261.0,492.0,53.0,231.0,375.0,100.0,275.0,249.0,772.0,726.0,18.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Eint Frankfurt,26,34.0,566.0,341.0,267.0,219.0,80.0,280.0,508.0,55.1,228.0,425.0,128.0,297.0,287.0,853.0,994.0,26.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Freiburg,26,34.0,511.0,317.0,225.0,222.0,64.0,235.0,457.0,51.4,222.0,400.0,112.0,288.0,276.0,787.0,811.0,21.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Gladbach,26,34.0,504.0,284.0,278.0,177.0,49.0,240.0,473.0,50.7,233.0,445.0,166.0,279.0,317.0,821.0,1067.0,23.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Heidenheim,27,34.0,614.0,356.0,322.0,235.0,57.0,294.0,558.0,52.7,264.0,435.0,109.0,326.0,312.0,926.0,952.0,15.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Hoffenheim,35,34.0,570.0,336.0,266.0,236.0,68.0,269.0,511.0,52.6,242.0,450.0,139.0,311.0,291.0,861.0,922.0,22.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Holstein Kiel,27,34.0,541.0,328.0,292.0,174.0,75.0,277.0,530.0,52.3,253.0,409.0,155.0,254.0,294.0,835.0,1126.0,22.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Leverkusen,23,34.0,395.0,259.0,153.0,163.0,79.0,184.0,357.0,51.5,173.0,302.0,77.0,225.0,234.0,629.0,676.0,26.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Mainz 05,25,34.0,564.0,325.0,234.0,247.0,83.0,236.0,448.0,52.7,212.0,419.0,128.0,291.0,352.0,916.0,947.0,22.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
RB Leipzig,29,34.0,543.0,333.0,248.0,222.0,73.0,258.0,525.0,49.1,267.0,500.0,156.0,344.0,268.0,811.0,990.0,29.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
St. Pauli,28,34.0,537.0,315.0,256.0,217.0,64.0,266.0,511.0,52.1,245.0,391.0,87.0,304.0,257.0,794.0,915.0,21.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Stuttgart,29,34.0,477.0,282.0,197.0,199.0,81.0,254.0,476.0,53.4,222.0,401.0,104.0,297.0,298.0,775.0,777.0,20.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
