Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,league_name,season,season_start
Augsburg,2,34.0,51,5.0,1.0,5.0,2.0,50.2,0.3,1.2,0.03,212.0,561.0,37.8,966.0,123.0,40.4,35.2,295.0,58.0,44.7,554.0,21.0,3.8,44.0,1.29,13.3,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Bayern Munich,4,34.0,32,1.0,0.0,4.0,0.0,29.3,0.37,-2.7,-0.08,130.0,306.0,42.5,1192.0,123.0,23.0,30.9,150.0,21.3,26.5,267.0,12.0,4.5,70.0,2.06,17.4,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Bochum,2,34.0,68,3.0,3.0,7.0,0.0,60.8,0.37,-7.2,-0.21,347.0,816.0,42.5,1061.0,94.0,55.0,43.6,299.0,77.6,52.1,467.0,18.0,3.9,51.0,1.5,14.8,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Dortmund,2,34.0,51,4.0,0.0,5.0,1.0,51.4,0.35,1.4,0.04,120.0,369.0,32.5,1101.0,129.0,26.4,34.8,220.0,35.5,30.6,444.0,23.0,5.2,49.0,1.44,14.8,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Eint Frankfurt,2,34.0,46,1.0,0.0,10.0,2.0,49.2,0.3,5.2,0.15,129.0,428.0,30.1,966.0,157.0,36.2,33.2,269.0,29.0,28.1,531.0,40.0,7.5,46.0,1.35,14.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Freiburg,2,34.0,53,2.0,1.0,6.0,1.0,48.5,0.31,-3.5,-0.1,213.0,580.0,36.7,1213.0,138.0,36.9,37.1,249.0,53.0,42.4,481.0,40.0,8.3,37.0,1.09,13.4,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Gladbach,4,34.0,57,7.0,1.0,8.0,2.0,59.6,0.29,4.6,0.13,195.0,473.0,41.2,1217.0,158.0,31.1,32.7,300.0,31.7,28.8,594.0,35.0,5.9,28.0,0.82,15.1,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Heidenheim,2,34.0,64,6.0,0.0,7.0,0.0,59.7,0.33,-4.3,-0.13,162.0,462.0,35.1,1066.0,160.0,32.6,38.0,301.0,38.2,37.5,478.0,22.0,4.6,21.0,0.62,14.8,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Hoffenheim,2,34.0,68,3.0,1.0,9.0,3.0,64.4,0.36,-0.6,-0.02,208.0,575.0,36.2,1022.0,143.0,45.4,36.5,230.0,48.3,38.7,491.0,21.0,4.3,35.0,1.03,14.5,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Holstein Kiel,2,34.0,80,6.0,3.0,6.0,3.0,65.8,0.31,-11.2,-0.33,214.0,577.0,37.1,1073.0,171.0,36.7,34.5,309.0,59.2,45.3,668.0,42.0,6.3,23.0,0.68,11.1,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Leverkusen,2,34.0,43,4.0,1.0,2.0,4.0,39.4,0.27,0.4,0.01,135.0,338.0,39.9,833.0,126.0,31.9,27.9,222.0,32.4,29.6,348.0,14.0,4.0,45.0,1.32,16.9,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Mainz 05,2,34.0,43,4.0,2.0,9.0,0.0,47.1,0.29,4.1,0.12,188.0,610.0,30.8,991.0,139.0,49.2,41.6,249.0,49.0,41.7,547.0,47.0,8.6,66.0,1.94,18.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
RB Leipzig,2,34.0,48,2.0,1.0,8.0,0.0,50.0,0.31,2.0,0.06,98.0,261.0,37.5,824.0,167.0,21.2,28.6,251.0,34.3,34.1,512.0,30.0,5.9,45.0,1.32,14.8,Bundesliga 2024-2025,bundesliga,2024-2025,2024
St. Pauli,2,34.0,41,1.0,0.0,5.0,1.0,49.8,0.33,9.8,0.29,171.0,521.0,32.8,1212.0,112.0,37.5,32.7,241.0,27.4,26.5,426.0,24.0,5.6,27.0,0.79,12.8,Bundesliga 2024-2025,bundesliga,2024-2025,2024
