Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,League,league_name,season,season_start
vs Augsburg,29,34.0,15484.0,19055.0,81.3,271400.0,94371.0,7005.0,7819.0,89.6,6730.0,7782.0,86.5,1435.0,2550.0,56.3,31.0,35.0,41.4,-4.0,339.0,1201.0,323.0,95.0,1438.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Bayern Munich,29,34.0,9140.0,12083.0,75.6,168971.0,67192.0,3892.0,4478.0,86.9,3959.0,4689.0,84.4,1027.0,2206.0,46.6,25.0,18.1,20.4,6.9,174.0,579.0,156.0,36.0,669.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Bochum,27,34.0,14057.0,17796.0,79.0,246536.0,93752.0,6403.0,7293.0,87.8,5999.0,7045.0,85.2,1331.0,2488.0,53.5,52.0,49.1,49.6,2.9,374.0,1121.0,304.0,62.0,1447.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Dortmund,28,34.0,10934.0,14210.0,76.9,194402.0,77129.0,4948.0,5650.0,87.6,4591.0,5486.0,83.7,1108.0,2219.0,49.9,39.0,30.9,35.6,8.1,275.0,780.0,265.0,75.0,1058.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Eint Frankfurt,26,34.0,14160.0,17664.0,80.2,247774.0,90416.0,6684.0,7472.0,89.5,5871.0,6806.0,86.3,1328.0,2508.0,53.0,28.0,35.6,40.0,-7.6,348.0,1198.0,291.0,87.0,1289.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Freiburg,26,34.0,14111.0,17514.0,80.6,250870.0,92325.0,6283.0,7139.0,88.0,6186.0,7067.0,87.5,1336.0,2445.0,54.6,39.0,30.7,36.4,8.3,314.0,1060.0,288.0,82.0,1182.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Gladbach,26,34.0,14473.0,17850.0,81.1,249718.0,89898.0,6579.0,7410.0,88.8,6307.0,7286.0,86.6,1235.0,2247.0,55.0,34.0,45.2,51.9,-11.2,437.0,1151.0,373.0,113.0,1520.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Heidenheim,27,34.0,15818.0,19390.0,81.6,273427.0,102087.0,7266.0,8148.0,89.2,6849.0,7849.0,87.3,1348.0,2454.0,54.9,50.0,43.1,46.5,6.9,350.0,1319.0,303.0,58.0,1620.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Hoffenheim,35,34.0,14007.0,17470.0,80.2,249473.0,93244.0,6350.0,7134.0,89.0,5860.0,6816.0,86.0,1479.0,2601.0,56.9,51.0,41.4,48.9,9.6,356.0,1178.0,338.0,89.0,1347.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Holstein Kiel,27,34.0,14775.0,18342.0,80.6,260356.0,92440.0,6586.0,7379.0,89.3,6421.0,7467.0,86.0,1395.0,2553.0,54.6,52.0,44.5,53.6,7.5,418.0,1350.0,360.0,126.0,1572.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
