Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,League,league_name,season,season_start
Augsburg,29,34.0,11577.0,14936.0,77.5,213228.0,82617.0,4900.0,5714.0,85.8,5187.0,6033.0,86.0,1267.0,2377.0,53.3,26,25.1,33.1,0.9,296.0,905.0,248.0,77.0,1162.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Bayern Munich,29,34.0,22755.0,25733.0,88.4,376161.0,117553.0,11338.0,12153.0,93.3,9489.0,10320.0,91.9,1548.0,2329.0,66.5,66,59.7,75.9,6.3,511.0,2131.0,464.0,67.0,2138.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Bochum,27,34.0,10281.0,14230.0,72.2,202499.0,85811.0,3889.0,4696.0,82.8,4761.0,5852.0,81.4,1433.0,2841.0,50.4,23,30.0,35.5,-7.0,308.0,865.0,235.0,76.0,1090.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Dortmund,28,34.0,17077.0,20321.0,84.0,295202.0,98274.0,7783.0,8536.0,91.2,7542.0,8376.0,90.0,1403.0,2463.0,57.0,56,47.4,50.4,8.6,372.0,1348.0,324.0,86.0,1563.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Eint Frankfurt,26,34.0,13925.0,17138.0,81.3,233650.0,85985.0,6627.0,7329.0,90.4,5810.0,6682.0,87.0,1094.0,2198.0,49.8,47,45.2,43.6,1.8,354.0,1033.0,308.0,55.0,1347.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Freiburg,26,34.0,12892.0,16460.0,78.3,230139.0,83746.0,5552.0,6386.0,86.9,5789.0,6731.0,86.0,1209.0,2417.0,50.0,35,30.5,36.3,4.5,285.0,981.0,253.0,74.0,1129.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Gladbach,26,34.0,14148.0,17507.0,80.8,245327.0,87390.0,6502.0,7257.0,89.6,6076.0,7009.0,86.7,1261.0,2322.0,54.3,39,37.7,34.9,1.3,308.0,848.0,278.0,93.0,1112.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Heidenheim,27,34.0,11127.0,14684.0,75.8,215269.0,83343.0,4145.0,4986.0,83.1,5303.0,6225.0,85.2,1428.0,2682.0,53.2,26,28.6,31.4,-2.6,294.0,806.0,231.0,84.0,974.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Hoffenheim,35,34.0,12827.0,16506.0,77.7,225491.0,85704.0,5746.0,6593.0,87.2,5461.0,6522.0,83.7,1221.0,2444.0,50.0,30,32.7,38.9,-2.7,324.0,1041.0,298.0,108.0,1218.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Holstein Kiel,27,34.0,10537.0,13961.0,75.5,201828.0,79435.0,4072.0,4768.0,85.4,5038.0,5991.0,84.1,1261.0,2558.0,49.3,29,26.7,27.8,2.3,266.0,676.0,181.0,69.0,875.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Leverkusen,23,34.0,18301.0,21589.0,84.8,299589.0,100139.0,9397.0,10227.0,91.9,7044.0,7969.0,88.4,1397.0,2377.0,58.8,53,41.9,52.1,11.1,387.0,1610.0,319.0,83.0,1692.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Mainz 05,25,34.0,12478.0,16434.0,75.9,222290.0,85770.0,5681.0,6560.0,86.6,5218.0,6226.0,83.8,1280.0,2671.0,47.9,37,37.5,45.0,-0.5,319.0,1038.0,309.0,93.0,1286.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
RB Leipzig,29,34.0,14698.0,18207.0,80.7,247957.0,90938.0,6822.0,7749.0,88.0,6428.0,7472.0,86.0,1090.0,2013.0,54.1,36,35.6,40.0,0.4,313.0,1138.0,306.0,52.0,1353.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
St. Pauli,28,34.0,11751.0,15300.0,76.8,208523.0,79611.0,5086.0,5835.0,87.2,5248.0,6213.0,84.5,1110.0,2391.0,46.4,22,26.3,28.7,-4.3,278.0,892.0,201.0,72.0,1073.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Stuttgart,29,34.0,16513.0,19767.0,83.5,272424.0,97064.0,8302.0,9120.0,91.0,6590.0,7479.0,88.1,1230.0,2270.0,54.2,45,45.3,52.7,-0.3,370.0,1291.0,372.0,90.0,1493.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Union Berlin,28,34.0,9960.0,13705.0,72.7,178823.0,74942.0,4467.0,5296.0,84.3,3994.0,4998.0,79.9,1156.0,2400.0,48.2,25,23.5,31.6,1.5,292.0,792.0,239.0,75.0,1049.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Werder Bremen,23,34.0,13999.0,17550.0,79.8,250040.0,91419.0,5827.0,6663.0,87.5,6247.0,7263.0,86.0,1455.0,2530.0,57.5,38,37.4,44.0,0.6,327.0,954.0,335.0,91.0,1351.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Wolfsburg,27,34.0,11590.0,15088.0,76.8,219100.0,82094.0,4735.0,5598.0,84.6,5178.0,6041.0,85.7,1421.0,2665.0,53.3,38,33.0,36.5,5.0,316.0,999.0,247.0,53.0,1205.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
Arsenal,25,38.0,17066.0,20241.0,84.3,278808.0,87055.0,8591.0,9363.0,91.8,7129.0,7999.0,89.1,1031.0,2022.0,51.0,55,45.3,45.7,9.7,428.0,1397.0,437.0,75.0,1826.0,Premier League 2024-2025,premier league,2024-2025,2024
Aston Villa,28,38.0,14701.0,17797.0,82.6,252637.0,88182.0,6778.0,7510.0,90.3,6555.0,7386.0,88.7,1088.0,2065.0,52.7,45,41.7,36.9,3.3,358.0,1137.0,319.0,56.0,1344.0,Premier League 2024-2025,premier league,2024-2025,2024
Bournemouth,29,38.0,12977.0,16900.0,76.8,233955.0,86767.0,5648.0,6514.0,86.7,5659.0,6670.0,84.8,1365.0,2819.0,48.4,41,43.8,36.5,-2.8,437.0,1242.0,339.0,106.0,1489.0,Premier League 2024-2025,premier league,2024-2025,2024
Brentford,28,38.0,13358.0,17100.0,78.1,245539.0,93263.0,5849.0,6739.0,86.8,5826.0,6875.0,84.7,1449.0,2741.0,52.9,44,42.4,38.1,1.6,330.0,1104.0,325.0,91.0,1356.0,Premier League 2024-2025,premier league,2024-2025,2024
Brighton,32,38.0,15820.0,19188.0,82.4,268916.0,90984.0,7629.0,8443.0,90.4,6541.0,7472.0,87.5,1313.0,2397.0,54.8,41,40.4,39.1,0.6,377.0,1189.0,339.0,87.0,1539.0,Premier League 2024-2025,premier league,2024-2025,2024
Chelsea,29,38.0,18033.0,21320.0,84.6,311166.0,98339.0,8067.0,8802.0,91.6,8244.0,9120.0,90.4,1369.0,2547.0,53.7,47,52.7,41.8,-5.7,457.0,1488.0,346.0,73.0,1595.0,Premier League 2024-2025,premier league,2024-2025,2024
Crystal Palace,29,38.0,11875.0,15754.0,75.4,213257.0,80237.0,5198.0,6077.0,85.5,5285.0,6317.0,83.7,1137.0,2545.0,44.7,38,46.4,36.6,-8.4,379.0,886.0,272.0,69.0,1158.0,Premier League 2024-2025,premier league,2024-2025,2024
Everton,26,38.0,11405.0,14953.0,76.3,215027.0,85013.0,5039.0,5809.0,86.7,4604.0,5451.0,84.5,1526.0,2901.0,52.6,27,32.2,27.2,-5.2,298.0,1003.0,261.0,92.0,1041.0,Premier League 2024-2025,premier league,2024-2025,2024
Fulham,26,38.0,16199.0,19753.0,82.0,289508.0,97635.0,7195.0,8007.0,89.9,7222.0,8198.0,88.1,1504.0,2703.0,55.6,44,37.5,35.0,6.5,398.0,1346.0,343.0,108.0,1558.0,Premier League 2024-2025,premier league,2024-2025,2024
Ipswich Town,32,38.0,11524.0,14775.0,78.0,204832.0,77912.0,5157.0,5835.0,88.4,5115.0,5988.0,85.4,1021.0,2184.0,46.7,26,24.2,21.2,1.8,283.0,865.0,173.0,54.0,935.0,Premier League 2024-2025,premier league,2024-2025,2024
Leicester City,32,38.0,13945.0,17486.0,79.7,234016.0,83996.0,6703.0,7482.0,89.6,5797.0,6664.0,87.0,1073.0,2370.0,45.3,25,25.1,24.1,-0.1,252.0,953.0,216.0,67.0,1082.0,Premier League 2024-2025,premier league,2024-2025,2024
Liverpool,24,38.0,18303.0,21758.0,84.1,312343.0,104887.0,8615.0,9382.0,91.8,7893.0,8905.0,88.6,1412.0,2550.0,55.4,65,61.6,54.3,3.4,509.0,1583.0,430.0,83.0,1924.0,Premier League 2024-2025,premier league,2024-2025,2024
Manchester City,30,38.0,21531.0,24443.0,88.1,349984.0,98901.0,11071.0,11923.0,92.9,8884.0,9710.0,91.5,1281.0,2040.0,62.8,51,54.2,53.8,-3.2,472.0,1685.0,440.0,62.0,1944.0,Premier League 2024-2025,premier league,2024-2025,2024
Manchester Utd,31,38.0,16837.0,20415.0,82.5,278154.0,89708.0,8233.0,9125.0,90.2,6855.0,7768.0,88.2,1257.0,2438.0,51.6,29,39.7,35.6,-10.7,406.0,1141.0,335.0,73.0,1448.0,Premier League 2024-2025,premier league,2024-2025,2024
Newcastle Utd,24,38.0,15416.0,18898.0,81.6,260464.0,91034.0,7416.0,8283.0,89.5,6475.0,7373.0,87.8,1193.0,2313.0,51.6,50,46.0,42.2,4.0,399.0,1149.0,399.0,70.0,1595.0,Premier League 2024-2025,premier league,2024-2025,2024
Nott'ham Forest,23,38.0,10822.0,14366.0,75.3,185832.0,74897.0,5322.0,6094.0,87.3,4065.0,5011.0,81.1,1038.0,2339.0,44.4,42,33.0,29.9,9.0,333.0,974.0,241.0,64.0,1125.0,Premier League 2024-2025,premier league,2024-2025,2024
Southampton,36,38.0,15530.0,18561.0,83.7,263566.0,84964.0,7279.0,7996.0,91.0,6699.0,7455.0,89.9,1175.0,2271.0,51.7,16,24.8,23.9,-8.8,269.0,989.0,218.0,60.0,1127.0,Premier League 2024-2025,premier league,2024-2025,2024
Tottenham,31,38.0,16513.0,19960.0,82.7,275248.0,93006.0,7576.0,8440.0,89.8,7372.0,8289.0,88.9,1101.0,2084.0,52.8,47,44.4,36.3,2.6,375.0,1254.0,369.0,83.0,1593.0,Premier League 2024-2025,premier league,2024-2025,2024
