Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,League,league_name,season,season_start
vs Augsburg,29,34.0,19055.0,17433.0,1565.0,386.0,62.0,100.0,712.0,667.0,172.0,85.0,49.0,4.0,15484.0,57.0,345.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Bayern Munich,29,34.0,12083.0,10634.0,1405.0,345.0,24.0,49.0,334.0,513.0,88.0,48.0,32.0,1.0,9140.0,44.0,278.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Bochum,27,34.0,17796.0,16058.0,1675.0,500.0,55.0,88.0,595.0,675.0,185.0,88.0,58.0,6.0,14057.0,63.0,368.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Dortmund,28,34.0,14210.0,12657.0,1460.0,353.0,44.0,74.0,551.0,593.0,134.0,62.0,45.0,0.0,10934.0,93.0,313.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Eint Frankfurt,26,34.0,17664.0,15994.0,1571.0,377.0,67.0,73.0,677.0,642.0,172.0,67.0,75.0,2.0,14160.0,99.0,335.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Freiburg,26,34.0,17514.0,16046.0,1425.0,356.0,35.0,83.0,604.0,624.0,147.0,80.0,43.0,0.0,14111.0,43.0,328.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Gladbach,26,34.0,17850.0,16292.0,1501.0,378.0,48.0,67.0,750.0,650.0,180.0,89.0,55.0,0.0,14473.0,57.0,325.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Heidenheim,27,34.0,19390.0,17744.0,1614.0,414.0,69.0,66.0,634.0,711.0,166.0,85.0,63.0,1.0,15818.0,32.0,382.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Hoffenheim,35,34.0,17470.0,15827.0,1602.0,437.0,66.0,99.0,626.0,651.0,189.0,74.0,72.0,1.0,14007.0,41.0,342.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Holstein Kiel,27,34.0,18342.0,16528.0,1752.0,432.0,53.0,86.0,852.0,795.0,224.0,115.0,67.0,0.0,14775.0,62.0,305.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Leverkusen,23,34.0,14768.0,13319.0,1386.0,368.0,39.0,63.0,443.0,533.0,116.0,61.0,45.0,1.0,11597.0,63.0,255.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Mainz 05,25,34.0,16234.0,14482.0,1703.0,469.0,48.0,58.0,656.0,691.0,173.0,84.0,72.0,0.0,12368.0,49.0,314.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs RB Leipzig,29,34.0,16691.0,15060.0,1563.0,440.0,50.0,76.0,660.0,633.0,187.0,83.0,69.0,0.0,13082.0,68.0,394.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs St. Pauli,28,34.0,19511.0,17842.0,1595.0,396.0,58.0,86.0,562.0,732.0,154.0,90.0,38.0,0.0,16017.0,74.0,349.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Stuttgart,29,34.0,14746.0,13145.0,1519.0,402.0,50.0,54.0,531.0,602.0,161.0,89.0,50.0,0.0,11408.0,82.0,331.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Union Berlin,28,34.0,20253.0,18532.0,1679.0,466.0,47.0,78.0,723.0,717.0,167.0,69.0,61.0,3.0,16465.0,42.0,352.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
