Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,League,league_name,season,season_start
vs Augsburg,29,55.7,34.0,22943.0,2360.0,7467.0,10398.0,5239.0,816.0,22938.0,469.0,197.0,42.0,233.0,49.7,12814.0,62501.0,31296.0,604.0,405.0,140.0,479.0,231.0,15364.0,1429.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Bayern Munich,29,32.1,34.0,16085.0,2998.0,7592.0,6086.0,2581.0,425.0,16083.0,476.0,200.0,42.0,250.0,52.5,7861.0,36733.0,16041.0,286.0,200.0,81.0,453.0,256.0,9050.0,664.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Bochum,27,54.5,34.0,22119.0,2332.0,7245.0,9965.0,5100.0,898.0,22113.0,619.0,266.0,43.0,306.0,49.4,11590.0,58190.0,29503.0,599.0,420.0,182.0,526.0,294.0,13929.0,1435.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Dortmund,28,41.1,34.0,18251.0,2382.0,6828.0,7494.0,4124.0,694.0,18247.0,539.0,231.0,42.9,261.0,48.4,9340.0,47128.0,23088.0,473.0,355.0,138.0,498.0,262.0,10851.0,1045.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Eint Frankfurt,26,50.3,34.0,21445.0,2319.0,6565.0,9663.0,5361.0,799.0,21442.0,544.0,228.0,41.9,280.0,51.5,11276.0,56986.0,28875.0,547.0,422.0,143.0,447.0,286.0,14035.0,1273.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Freiburg,26,51.3,34.0,21416.0,2280.0,7469.0,9517.0,4592.0,727.0,21412.0,478.0,222.0,46.4,235.0,49.2,12223.0,56939.0,27259.0,471.0,354.0,120.0,539.0,276.0,13965.0,1167.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Gladbach,26,50.4,34.0,21784.0,2032.0,5968.0,9969.0,6055.0,1000.0,21776.0,514.0,233.0,45.3,240.0,46.7,11945.0,60720.0,30982.0,607.0,463.0,171.0,501.0,264.0,14355.0,1509.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Heidenheim,27,56.5,34.0,23335.0,1995.0,6152.0,11630.0,5773.0,847.0,23329.0,607.0,264.0,43.5,294.0,48.4,13152.0,67306.0,34543.0,643.0,489.0,154.0,523.0,320.0,15686.0,1610.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Hoffenheim,35,51.3,34.0,21736.0,2361.0,6905.0,9596.0,5414.0,898.0,21730.0,556.0,242.0,43.5,269.0,48.4,11712.0,57227.0,27547.0,529.0,428.0,143.0,550.0,301.0,13877.0,1336.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Holstein Kiel,27,56.4,34.0,22214.0,1790.0,5535.0,10403.0,6454.0,987.0,22207.0,589.0,253.0,43.0,277.0,47.0,12764.0,60246.0,29565.0,549.0,409.0,172.0,548.0,264.0,14660.0,1558.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Leverkusen,23,40.8,34.0,18556.0,2562.0,7087.0,7890.0,3728.0,560.0,18552.0,384.0,173.0,45.1,184.0,47.9,10192.0,49152.0,23558.0,403.0,333.0,99.0,438.0,211.0,11490.0,972.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs Mainz 05,25,49.6,34.0,20500.0,2395.0,7086.0,8870.0,4721.0,774.0,20495.0,491.0,212.0,43.2,236.0,48.1,10118.0,47298.0,22409.0,436.0,329.0,132.0,534.0,328.0,12192.0,1107.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs RB Leipzig,29,47.8,34.0,20820.0,2272.0,6842.0,9156.0,4982.0,889.0,20817.0,574.0,267.0,46.5,258.0,44.9,10832.0,52648.0,25250.0,530.0,354.0,154.0,510.0,285.0,12947.0,1256.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
vs St. Pauli,28,55.8,34.0,23319.0,2172.0,6856.0,12047.0,4560.0,704.0,23314.0,554.0,245.0,44.2,266.0,48.0,12880.0,63001.0,31468.0,484.0,352.0,117.0,554.0,271.0,15848.0,1374.0,Bundesliga 2024-2025,bundesliga,2024-2025,2024
